lane	kewa_seq	vol	page	heading_idx	kewa_slp1	match_basis	pwg_key1	witness	n_candidates	lemma_route	routes_agree	flags
modern-IE	8406	III	380	0	SOwIraH	sandhi/diacritic-normalized	SOwIra	rule	1			
modern-IE	8407	III	380	0	SORqaH	sandhi/diacritic-normalized	SORqa	rule	1	SORqa	1	
modern-IE	8408	III	380	0	Scand	exact	Scand	PWG-key1	1			bound-prefix-or-stem
modern-IE	8408	III	380	1	Scandra	unmatched			0			bound-suffix|bound-prefix-or-stem
modern-IE	8409	III	380	0	Scamnan	finite-form->root	Scam	dcs	1	Scam	same-route	
modern-IE	8410	III	380	0	Scotati	finite-form->root	Scut	dcs	1	Scut	same-route	
modern-IE	8411	III	380-381	0	SnaT	exact	SnaT	PWG-key1	1			bound-prefix-or-stem
modern-IE	8412	III	381	0	Snaptram	sandhi/diacritic-normalized	Snaptra	rule	1			
modern-IE	8413	III	381	0	SnuzwiH	sandhi/diacritic-normalized	Snuzwi	rule	1	Snuzwi	1	
modern-IE	8414	III	381	0	Snyaptram	sandhi/diacritic-normalized	Snyaptra	rule	1			
modern-IE	8415	III	381	0	SmaYc	unmatched			0			bound-prefix-or-stem
modern-IE	8416	III	381	0	SmaSA	exact	SmaSA	PWG-key1	1	SmaSA	1	
modern-IE	8417	III	381-382	0	SmaSAnam	sandhi/diacritic-normalized	SmaSAna	rule	1	SmaSAna	1	
modern-IE	8418	III	382	0	SmaSru	exact	SmaSru	PWG-key1	1	SmaSru	1	
modern-IE	8419	III	382	0	Smasi	exact	Smasi	PWG-key1	1	vaS	0	routes-disagree
modern-IE	8420	III	382-383	0	SmIl	exact	SmIl	PWG-key1	1			bound-prefix-or-stem
modern-IE	8421	III	383	0	SyAmaH	sandhi/diacritic-normalized	SyAma	rule	1	SyAma	1	
modern-IE	8422	III	383-384	0	SyAyati	finite-form->root	SyA	dcs	1	SyA	same-route	
modern-IE	8423	III	384	0	SyAlaH	unmatched			0			
modern-IE	8424	III	384	0	SyAvaH	sandhi/diacritic-normalized	SyAva	rule	1	SyAva	1	
modern-IE	8425	III	384	0	SyetaH	sandhi/diacritic-normalized	Syeta	rule	1	Syeta	1	
modern-IE	8426	III	385	0	SyenaH	sandhi/diacritic-normalized	Syena	rule	1	Syena	1	
modern-IE	8427	III	385	0	SyonAkaH	sandhi/diacritic-normalized	SyonAka	rule	1	SyonAka	1	
modern-IE	8428	III	385	0	SraNk	exact	SraNk	PWG-key1	1			bound-prefix-or-stem
modern-IE	8428	III	385	1	SraNg	exact	SraNg	PWG-key1	1			bound-prefix-or-stem
modern-IE	8429	III	385	0	SraR	exact	SraR	PWG-key1	1			bound-prefix-or-stem
modern-IE	8430	III	385	0	Srat	exact	Srat	PWG-key1	1	SraT	0	routes-disagree
modern-IE	8431	III	385-386	0	SraTnAti	unmatched			0			
modern-IE	8432	III	386-387	0	SradDA	exact	SradDA	PWG-key1	1	SradDA	1	
modern-IE	8433	III	387	0	Srapayati	unmatched			0			
modern-IE	8434	III	387	0	SrabDaH	unmatched			0			
modern-IE	8434	III	387	1	SraB	unmatched			0			bound-prefix-or-stem
modern-IE	8435	III	387	0	Sram	exact	Sram	PWG-key1	1			bound-prefix-or-stem
modern-IE	8436	III	387-388	0	SramaRaH	sandhi/diacritic-normalized	SramaRa	rule	1	SramaRa	1	
modern-IE	8437	III	388	0	SramBate	unmatched			0			
