# Catalan dictionary headwords NOT found in any CDSL dictionary
# (accent- and compound-insensitive k1 match against all 43 CDSL dicts in csl-orig/v02)
# total uncovered headwords: 4680  (unique normalized keys: 4670)


## suspect-char  (126)
˜  pra-√kāṅkṣ                           	  prakANkz
vijñāna-saṃgharṣa-                      	vijYAnasaMGarza
vijñāta-brahmabhāva-                    	vijYAtabrahmaBAva
vijñāta-brahmatattva-                   	vijYAtabrahmatattva
vijayā-nagara-                          	vijayAnagara
vijaya-kārin-                           	vijayakArin
vijaya-ḍinḍima-                         	vijayaqinqima
vijaya-vṛttānta-                        	vijayavfttAnta
vijita-deha-                            	vijitadeha
vijita-mana-                            	vijitamana
vikāra-prakṛti-                         	vikAraprakfti
vikīrṇa-kaṇṭhasūtra-                    	vikIrRakaRWasUtra
vikīrṇa-murdhaja-                       	vikIrRamurDaja
vikaraṇa-bhāva-                         	vikaraRaBAva
vikasal-locanotpala-                    	vikasallocanotpala
vikṛti-bheda-                           	vikftiBeda
vikṛṣṭa-tara-                           	vikfzwatara
vikṣepa-sahabhū-                        	vikzepasahaBU
vikṣipta-viṭaṇkabāhu-                   	vikziptaviwaRkabAhu
vilāsa-kodaṇda-                         	vilAsakodaRda
vilagna-madhya-                         	vilagnamaDya
vilocana-prasravaṇa-                    	vilocanaprasravaRa
vilola-parṇa-                           	vilolaparRa
vimāna-śayanārtha-                      	vimAnaSayanArTa
vimāna-paṅkti-                          	vimAnapaNkti
vimāna-pṛṣṭha-                          	vimAnapfzWa
vimala-paṅkaja-                         	vimalapaNkaja
vimokṣa-kāma-                           	vimokzakAma
vimokṣa-mārga-                          	vimokzamArga
vimokṣa-vādin-                          	vimokzavAdin
vimukta-śapa-                           	vimuktaSapa
vimukta-lajja-                          	vimuktalajja
vimukti-saudhāgratalādhirohaṇa-         	vimuktisODAgratalADirohaRa
vimukti-vārtā-                          	vimuktivArtA
vindhya-koṣṭha-                         	vinDyakozWa
vindhya-pāda-                           	vinDyapAda
vinīta-ceṣṭa-                           	vinItacezwa
vinatonnata-pṛṣṭhakukṣipārśva-          	vinatonnatapfzWakukzipArSva
vinaṣṭa-dṛṣti-                          	vinazwadfzti
vinipāta-śaṃśin-                        	vinipAtaSaMSin
vinipāta-pratikāra-                     	vinipAtapratikAra
vinipāta-pratikrīya-                    	vinipAtapratikrIya
vinivṛtta-śapa-                         	vinivfttaSapa
viniyoga-vidhi-                         	viniyogaviDi
vipad-abhibhūta-                        	vipadaBiBUta
viparīta-bhāvanā-                       	viparItaBAvanA
viparīta-karaṇī-                        	viparItakaraRI
viparyaya-bheda-                        	viparyayaBeda
viproṣita-kūmara-                       	viprozitakUmara
vipula-prothalātakaṭyuraska-            	vipulaproTalAtakawyuraska
viputra-bhārya-                         	viputraBArya
virāga-bhāva-                           	virAgaBAva
virāma-pratyaya-                        	virAmapratyaya
viraha-vyapad-                          	virahavyapad
virodha-vacana-                         	viroDavacana
viruddha-kṛt-                           	virudDakft
visaṃjña-kalpa-                         	visaMjYakalpa
visarga-śakti-                          	visargaSakti
visisṛkṣā-śīla-                         	visisfkzASIla
vismaya-ja-                             	vismayaja
vismaya-nivṛttyartham                   	vismayanivfttyarTam
vismayotphulla-viśāladṛṣṭi-             	vismayotPullaviSAladfzwi
vismṛta-prāya-                          	vismftaprAya
vismṛta-prativacana-                    	vismftaprativacana
vistīrṇa-kalpa-                         	vistIrRakalpa
vitāna-sahita-                          	vitAnasahita
vitarka-bādhana-                        	vitarkabADana
vitarka-vicārānandāsmitānugamāt         	vitarkavicArAnandAsmitAnugamAt
vitta-moha-                             	vittamoha
vitta-saṃghāta-                         	vittasaMGAta
vivāha-lopa-                            	vivAhalopa
vivaśa-kṛta-                            	vivaSakfta
vivaktī- kṛta-                          	vivaktI kfta
vivakṣā-tas                             	vivakzAtas
vivarṇa-vāsas-                          	vivarRavAsas
vivasvad-ātman-                         	vivasvadAtman
viveka-nimna-                           	vivekanimna
viveka-vairāgyaguṇātireka-              	vivekavErAgyaguRAtireka
vivṛddha-gātra-                         	vivfdDagAtra
vivṛtāsya-puṭa-                         	vivftAsyapuwa
vivikta-pṛṣṭha-                         	viviktapfzWa
viṭ-pátnī-                              	viwpatnI
viṣāda-pariplavalocana-                 	vizAdapariplavalocana
viṣāda-yoga-                            	vizAdayoga
viṣa-phala-                             	vizaPala
viṣaṇṇa-vaktra-                         	vizaRRavaktra
viṣa-śūcaka-                            	vizaSUcaka
viṣakta-mālya-                          	vizaktamAlya
viṣama-viṣayamārga-                     	vizamavizayamArga
viṣa-nāsin-                             	vizanAsin
viṣa-vitapin-                           	vizavitapin
viṣayākāra-tā-                          	vizayAkAratA
viṣaya-gata-                            	vizayagata
viṣaya-gocara-                          	vizayagocara
viṣaya-pariccheda-                      	vizayaparicCeda
viṣaya-paricchiti-                      	vizayaparicCiti
viṣaya-pradhāna-                        	vizayapraDAna
viṣaya-pracāra-                         	vizayapracAra
viṣaya-pravṛtti-                        	vizayapravftti
viṣaya-spṛha-                           	vizayaspfha
viṣaya-vimukha-                         	vizayavimuKa
viṣaya-vivecana-                        	vizayavivecana
viṣṭabdha-gatra-                        	vizwabDagatra
viṣṭapa-hara-                           	vizwapahara
vjina-vat-                              	vjinavat
vraṇa-saṃrohana-                        	vraRasaMrohana
vraṇa-viropana-                         	vraRaviropana
vraka-bhāva-                            	vrakaBAva
vraka-bhaṇita-                          	vrakaBaRita
vraka-buddhi-                           	vrakabudDi
vraka-dṛṣṭi-                            	vrakadfzwi
vraka-gāmin-                            	vrakagAmin
vraka-ga-                               	vrakaga
vraka-gata-                             	vrakagata
vraka-gati-                             	vrakagati
vraka-mati-                             	vrakamati
vraka-nāsa-                             	vrakanAsa
vraka-tā-                               	vrakatA
vraka-tuṇḍa-                            	vrakatuRqa
vraka-tva-                              	vrakatva
vrata-kheda-                            	vrataKeda
vrata-cakravāka-                        	vratacakravAka
vrata-saṃskṛta-                         	vratasaMskfta
vyādha-gītā-                            	vyADagItA
vyādhy-arta-                            	vyADyarta
vyāghra-buddhyā                         	vyAGrabudDyA
vyākula-manasa-                         	vyAkulamanasa
vyāpi-tā-                               	vyApitA
vyāpya-vṛtti-                           	vyApyavftti
vyāvṛtti-kṛtaikākāra-                   	vyAvfttikftEkAkAra
vyāyāma-karṣita-                        	vyAyAmakarzita
vyabhicāra-vāraṇa-                      	vyaBicAravAraRa
vyakta-madhya-                          	vyaktamaDya
vyakta-sūkṣma-                          	vyaktasUkzma
vyakti-pakṣa-                           	vyaktipakza
vyakty-abheda-                          	vyaktyaBeda
vyasana-saṃsakta-                       	vyasanasaMsakta
vyatireki-hetu-                         	vyatirekihetu
vyatireky-upanaya-                      	vyatirekyupanaya
vyatyasta-bhuja-                        	vyatyastaBuja
vyatyasta-pāda-                         	vyatyastapAda
vyavadhāna-mukta-                       	vyavaDAnamukta
vyavahārānabhijña-tā-                   	vyavahArAnaBijYatA
vyaṣṭy-abhiprāyeṇa                      	vyazwyaBiprAyeRa
vyaṣṭy-upahita-                         	vyazwyupahita
vyutpatti-pakṣa-                        	vyutpattipakza
ṭaṅkāra-rava-                           	waNkArarava
ḷd-it-                                  	xdit
yāvad-adhyanam                          	yAvadaDyanam
yaugika-rūḍhi-                          	yOgikarUQi
yaśaḥ-prakhyāpanna-                     	yaSaHpraKyApanna
yathā-kāmācara-                         	yaTAkAmAcara
yathārtha-anubhava-                     	yaTArTaanuBava
yathārtha-vaktṛ-                        	yaTArTavaktf
yathā-vīrya m                           	yaTAvIrya m
yadu-nayaka-                            	yadunayaka
yajña-turaṅga-                          	yajYaturaNga
yama-daṃṣtrā-                           	yamadaMztrA
yama-daṃṣtra-                           	yamadaMztra
yama-purī-                              	yamapurI
yama-rātha-                             	yamarATa
yava-polikā-                            	yavapolikA
yaṣṭy-utthana-                          	yazwyutTana
yogādhamana-vikṛīta-                    	yogADamanavikfIta
yogāṅga-tva-                            	yogANgatva
yogārūḍha-tva-                          	yogArUQatva
yoga-guṇa-                              	yogaguRa
yogyatā-viraha-                         	yogyatAviraha
yojanā-vallī-                           	yojanAvallI
yoni-gata-                              	yonigata
yoṣit-pratiyānā-                        	yozitpratiyAnA
yuga-vyāyata-                           	yugavyAyata
ṣaṇḍha-varṇa-                           	zaRQavarRa
ṣaṇ-navata-                             	zaRnavata
ṣaṇ-navati-                             	zaRnavati
ṣaḍ-ūśaṇa-                              	zaqUSaRa
ṣaḍ-adhvan-                             	zaqaDvan
ṣaḍ-aṃsa-                               	zaqaMsa
ṣaḍ-buddhi-                             	zaqbudDi
ṣaḍ-indriya-                            	zaqindriya
ṣaḍ-viṣaya-                             	zaqvizaya
ṣaṭ-śāstravedin-                        	zawSAstravedin
ṣaṭ-padāli-                             	zawpadAli

## long-compound(3+)  (600)
ānanda-pracura-tva-                     	Anandapracuratva
āpāta-vairāgya-vat-                     	ApAtavErAgyavat
ārambha-ruci-tā- tddh                   	AramBarucitA tdD
āropita-vastu-saṅga-                    	AropitavastusaNga
ātma-darśana-yogyatva-                  	AtmadarSanayogyatva
ātma-sāmrājya-sukha-                    	AtmasAmrAjyasuKa
ātmatva-bādha-darśana-                  	AtmatvabADadarSana
ātyantika-saṃsāraduḥkha-nāśa-           	AtyantikasaMsAraduHKanASa
bhāsa-mātra-tā-                         	BAsamAtratA
bhāva-vikāra-vettṛ-                     	BAvavikAravettf
bhaga-cumbana-tatpara-                  	Bagacumbanatatpara
bhastrikā-kumbhaka-prāṇāyāma-           	BastrikAkumBakaprARAyAma
bhava-bandha-hetu-                      	BavabanDahetu
bhava-bandha-mukti-                     	BavabanDamukti
bhava-bandha-nāśa-                      	BavabanDanASa
bhaya-kampita-svara-                    	Bayakampitasvara
bhaya-saṃtrasta-manasa-                 	BayasaMtrastamanasa
bhṛty-anna-artham                       	BftyannaarTam
bhinna-guṇāśraya-tva-                   	BinnaguRASrayatva
bho -bhavat-pūrvakam                    	Bo BavatpUrvakam
bhrāmarī-kumbhaka-prāṇāyāma-            	BrAmarIkumBakaprARAyAma
bhrānti-kalpita-jagatkalāśraya-         	BrAntikalpitajagatkalASraya
bhrātṛ-loka-kāma-                       	BrAtflokakAma
bhrama-svapna-manoratha-                	BramasvapnamanoraTa
bhru-kuṭī̆-bandha-                      	BrukuwIbanDa
bhru-kuṭī̆-kuṭila-                      	BrukuwIkuwila
bhukti-mukti-pradāyinī-                 	BuktimuktipradAyinI
dhārā-vāhika-jñāna-                     	DArAvAhikajYAna
dharma-lakṣanāvasthā-pariṇāma-          	DarmalakzanAvasTApariRAma
dhṛta-dvaidhī-bhava-                    	DftadvEDIBava
dhyāna--yogānugata-                     	DyAnayogAnugata
ghaṭa-stha-yoga-                        	GawasTayoga
ghuṇākṣara-nyāya-vat                    	GuRAkzaranyAyavat
khalvāṭa-bilva-nyāya-                   	KalvAwabilvanyAya
autsukya-nivṛtty-artha-                 	OtsukyanivfttyarTa
auṣadha-śabda-tas                       	OzaDaSabdatas
phala-karma-kartṛ-                      	Palakarmakartf
phala-vat-tva-niyama-                   	Palavattvaniyama
śāpa-nivṛtti-kāraṇa-                    	SApanivfttikAraRa
śaśi-saṃnibha-śiśu-                     	SaSisaMniBaSiSu
śabdārtha-jñāna-vikalpa-                	SabdArTajYAnavikalpa
śabda-dyotya-tva-                       	Sabdadyotyatva
śabda-nitya-tva-                        	Sabdanityatva
śakti-matī-tva-                         	SaktimatItva
śamādiṣaṭka-saṃpa-tti-                  	SamAdizawkasaMpatti
śanaiś-cara-vara-                       	SanEScaravara
śiśu-hariṇa-dṛṣ-                        	SiSuhariRadfz
śrī-khaṇḍa-carca-                       	SrIKaRqacarca
śrī-raṅga-paṭṭana-                      	SrIraNgapawwana
śrī-sulā-bha-                           	SrIsulABa
śraddhā-vīrya-smṛti-samādhi-prajñā-pūrvaka-	SradDAvIryasmftisamADiprajYApUrvaka
śravaṇa-patha-tvam                      	SravaRapaTatvam
śruti-pāra-darśana-                     	SrutipAradarSana
śruti-pramāṇā-nugṛhīta-yukti-           	SrutipramARAnugfhItayukti
śuci-samācāra-tā-                       	SucisamAcAratA
śuddha-bodha-svabhāva-                  	SudDaboDasvaBAva
śuddha-cid-ghana-                       	SudDacidGana
ūru-ja- upa                             	Uruja upa
adhārādheya-bhāva-lakṣaṇa-              	aDArADeyaBAvalakzaRa
akhaṇḍānanda-pīyūṣa-pūrṇa-              	aKaRqAnandapIyUzapUrRa
akhaṇḍa-caitanya-mātra-                 	aKaRqacEtanyamAtra
akhaṇḍa-nityādvayabodha-śakti-          	aKaRqanityAdvayaboDaSakti
akhaṇḍa-rūpa-sthiti-                    	aKaRqarUpasTiti
akhaṇḍa-sukha-svarūpa-                  	aKaRqasuKasvarUpa
akhaṇḍa-vastv-anavalambana-             	aKaRqavastvanavalambana
akhila-bhū-śrī-                         	aKilaBUSrI
akhila-karma-nāśa-                      	aKilakarmanASa
akhila-sūkṣma-śarīra-                   	aKilasUkzmaSarIra
ábādhita-viṣaya-tva-                    	abADitavizayatva
adṛṣta-janma-vedanīya-                  	adfztajanmavedanIya
adri-jā- -                              	adrijA 
adri-pati- -                            	adripati 
adri-rāja- -                            	adrirAja 
agṛhīta-kusuma-nepathya-                	agfhItakusumanepaTya
agnī-soma-praṇaya-                      	agnIsomapraRaya
ahaituka-dayā-sindhu-                   	ahEtukadayAsinDu
aham-ādi-vikāra-                        	ahamAdivikAra
aham-ādi-vimukta-                       	ahamAdivimukta
ajāvika- ajá-2                          	ajAvika aja
ajñāna-hṛdaya-grantha-                  	ajYAnahfdayagranTa
ajñāna-sarpa-daṣṭa-                     	ajYAnasarpadazwa
ajñānopahita-caitanya-mātra-            	ajYAnopahitacEtanyamAtra
akāla-kāma-ja-                          	akAlakAmaja
akalpa-samādhi-niṣṭhā-                  	akalpasamADinizWA
alakṣya-vṛtti-tva-                      	alakzyavfttitva
alpa-tva- tddh                          	alpatva tdD
anādi-madhyama-nidhāna-,                	anAdimaDyamaniDAna
ananta-tva-hāni-                        	anantatvahAni
ananya-deva- bah                        	ananyadeva bah
aneka-buddhi-viṣayatayā                 	anekabudDivizayatayA
aneka-tva-vyapadeśa-                    	anekatvavyapadeSa
aneka-vṛtti-tva-                        	anekavfttitva
anna-pāna-loka-kāma-                    	annapAnalokakAma
antaḥ-karaṇa- vṛtti-                    	antaHkaraRa vftti
antar-bahir-avijñāna-                   	antarbahiravijYAna
anya-bhṛta- -                           	anyaBfta 
anya-dharma- -                          	anyaDarma 
anya-citta- -                           	anyacitta 
anya-gāmin- -                           	anyagAmin 
anya-nābhi- -                           	anyanABi 
anya-tama- -                            	anyatama 
anya-tara- -                            	anyatara 
anyatara-karmaja- -                     	anyatarakarmaja 
anyonyābhibhavāśraya-janana-mithuna-vṛtti-	anyonyABiBavASrayajananamiTunavftti
anyonya-bheda-vyāvartaka-tā-            	anyonyaBedavyAvartakatA
anyonya-viruddha-dharmin-               	anyonyavirudDaDarmin
apāra-pāra-saṃsāra-pāra-                	apArapArasaMsArapAra
apūrva-sukha-lābha-                     	apUrvasuKalABa
apañcīkṛta-bhūta-mātra-                 	apaYcIkftaBUtamAtra
apañcīkṛta-bhūta-saṃbhava-              	apaYcIkftaBUtasaMBava
artha-kriyākāri-tva-                    	arTakriyAkAritva
arthi-tā- f                             	arTitA f
arthi-tva- tddh                         	arTitva tdD
arundhatī-pradarśana-nyāya-             	arunDatIpradarSananyAya
asādhāraṇa-dharma- tva-                 	asADAraRaDarma tva
asādhāraṇa-dharma-viśiṣṭapiṇḍajñāna-    	asADAraRaDarmaviSizwapiRqajYAna
asaṇga-cid-rūpa-                        	asaRgacidrUpa
asat-kāra- upa                          	asatkAra upa
asat-kārya-vāda-                        	asatkAryavAda
atīta-dvaitabhāna-tas                   	atItadvEtaBAnatas
atad-rūpa-pratiṣtha-                    	atadrUpapratizTa
atideśa-vākyārtha-smaraṇa-              	atideSavAkyArTasmaraRa
atyanta-susūkṣma-vṛtti-                 	atyantasusUkzmavftti
atyanta-vairāgya-vat-                   	atyantavErAgyavat
avaśya-ṃ-bhāvi-tā-                      	avaSyaMBAvitA
avaśya-ṃ-bhāvi-tva-                     	avaSyaMBAvitva
avag-gamana-vat-                        	avaggamanavat
avalokayitṛ-buddhi-pidhāyakatā-         	avalokayitfbudDipiDAyakatA
avalokayitṛ-nayanapatha-pidhāyakatā-    	avalokayitfnayanapaTapiDAyakatA
avayavy-ajanaka-tva-                    	avayavyajanakatva
aviśuddhi-kṣayātiśaya-yukta-            	aviSudDikzayAtiSayayukta
avidyā-gahana- n                        	avidyAgahana n
avidyā-hṛdayagranthi-mokṣa-             	avidyAhfdayagranTimokza
avidyā-kāmakarmādi-pāśabandha-          	avidyAkAmakarmAdipASabanDa
avidyā-kārya-duḥkha-                    	avidyAkAryaduHKa
avidyā-timira-janita-                   	avidyAtimirajanita
avikāri-vahni-vat                       	avikArivahnivat
aṣṭāṅga-praṇāma-hṛdaya-                 	azwANgapraRAmahfdaya
aṣṭā-viṃśati-bheda-                     	azwAviMSatiBeda
bādarāyaṇa-bādhaka-bhāva-               	bAdarAyaRabADakaBAva
bādarāyaṇa-bādhaka-tā-                  	bAdarAyaRabADakatA
bahu-deśa-darsin-                       	bahudeSadarsin
bandha-kāraṇa-śaithilya-                	banDakAraRaSETilya
bimba-pratibimba-nyāya-                 	bimbapratibimbanyAya
brahmānanda-rasānubhūti-kalita-         	brahmAnandarasAnuBUtikalita
brahmānanda-rasāsvādāsaktacitta-tā-     	brahmAnandarasAsvAdAsaktacittatA
brahma-bhūta-tva-                       	brahmaBUtatva
brahma-bhinnatva-vijñāna-               	brahmaBinnatvavijYAna
brahma-carya-pratiṣṭhā-                 	brahmacaryapratizWA
brahma-karma-samādhin-                  	brahmakarmasamADin
brahma-pratyaya-saṃtati-                	brahmapratyayasaMtati
brahma-víd-uttama-                      	brahmaviduttama
brahma-vit-tama-                        	brahmavittama
buddhi-tadvṛtti-sākṣiṇ-                 	budDitadvfttisAkziR
buddhi-tadvṛtti--sadbhāva-              	budDitadvfttisadBAva
buddhy-upādhi-saṃbandha-                	budDyupADisaMbanDa
cakṣuḥ-śrotra-ghrāṇa-rasana-tvag-ākhya- 	cakzuHSrotraGrARarasanatvagAKya
candrārdha-cūḍa-maṇi-                   	candrArDacUqamaRi
candra-caturmukha-śaṃkarācyuta-         	candracaturmuKaSaMkarAcyuta
candra-maricī-śubhra-                   	candramaricISuBra
cid-ānanda- -                           	cidAnanda 
cid-pratibimba-sahita-                  	cidpratibimbasahita
cid-rūpa- -                             	cidrUpa 
citra-phala- -                          	citraPala 
citra-phalaka- -                        	citraPalaka 
citra-gata- -                           	citragata 
citra-kara- -                           	citrakara 
citra-karman- -                         	citrakarman 
citra-lekhaka- -                        	citraleKaka 
citra-paṭṭa- -                          	citrapawwa 
citra-stha- -                           	citrasTa 
dainaṃ-dina- pralaya-                   	dEnaMdina pralaya
dīrghakāla-nairantarya-satkāra-sevita-  	dIrGakAlanErantaryasatkArasevita
daśa-raśmi-śat-                         	daSaraSmiSat
deśa-kālādy-ucita-pratīkṣā-             	deSakAlAdyucitapratIkzA
deśa-kāla-saṃkhyā-                      	deSakAlasaMKyA
deśa-kāla-viṣayayātivartin-             	deSakAlavizayayAtivartin
deha-taddharma-tatkarma-tadavasthādi-sākṣin-	dehatadDarmatatkarmatadavasTAdisAkzin
deva-pitṛ-kārya-                        	devapitfkArya
dṛṣṭādṛṣṭa-janma-vedanīya-              	dfzwAdfzwajanmavedanIya
dṛṣṭānuśravika-viṣaya-vitṛṣṇa-          	dfzwAnuSravikavizayavitfzRa
dṛṣṭa-janma-vedanīya-                   	dfzwajanmavedanIya
dṛṣṭa-vyāla-vat                         	dfzwavyAlavat
dig-vātārka-varuṇāśvin-                 	digvAtArkavaruRASvin
doṣa-bīja-kṣaya-                        	dozabIjakzaya
dravya-lakṣaṇa-yoga-                    	dravyalakzaRayoga
draṣṭṛ-darśana-dṛśyādi-bhāva-śūnya-     	drazwfdarSanadfSyAdiBAvaSUnya
durvāra-saṃsāradavāgni-tapta-           	durvArasaMsAradavAgnitapta
dvaṃdva-sa-māsa-                        	dvaMdvasamAsa
eka-buddhi-viṣayatayā                   	ekabudDivizayatayA
eka-eūpa-tā-                            	ekaeUpatA
eka-viṃśati-duḥkha-                     	ekaviMSatiduHKa
eka-viṃśati-prabheda-                   	ekaviMSatipraBeda
eka-vyaktika-tva-                       	ekavyaktikatva
ṛṇa-mocana-kartṛ-                       	fRamocanakartf
grāma-śabda-prayoga-                    	grAmaSabdaprayoga
grahītṛ-grahaṇa-grāhya-                 	grahItfgrahaRagrAhya
grahaṇa-svarūpāsmitānvayārthavattva-saṃyama-	grahaRasvarUpAsmitAnvayArTavattvasaMyama
guṇī-bhūta- vyaṅgya-                    	guRIBUta vyaNgya
guṇa-jña- tā-                           	guRajYa tA
guṇa-kriyā-hetu-phala-                  	guRakriyAhetuPala
guṇa-pariṇāma-viśeṣa-                   	guRapariRAmaviSeza
guṇa-vaiṣamya-vimarda-                  	guRavEzamyavimarda
guru-lāghu-tā-                          	gurulAGutA
guru-talpa-gamin-                       	gurutalpagamin
haṃsa-vikrānta-gamitā-                  	haMsavikrAntagamitA
hary-aśva-capa-                         	haryaSvacapa
hetu-mat-tā-                            	hetumattA
hetu-mat-tva                            	hetumattva
hiṃ-kāra-bhājin-                        	hiMkAraBAjin
hima-jhañjhā-vāyu-                      	himaJaYJAvAyu
hlāda-paritāpa-phala-                   	hlAdaparitApaPala
idaṃ-tā- tddh                           	idaMtA tdD
ikṣvāku-kula-pradīpa-                   	ikzvAkukulapradIpa
ikṣvāku-sama-prabhāva-                  	ikzvAkusamapraBAva
ikṣvāku-vaṃśa-prabhava-                 	ikzvAkuvaMSapraBava
ilā-sūtā- -                             	ilAsUtA 
ilā-vṛta- -                             	ilAvfta 
ilā-vilā- -                             	ilAvilA 
indhana-yoni-grahya-                    	inDanayonigrahya
isu-dhara- -                            	isuDara 
isu-dhí- -                              	isuDi 
isu-patha- -                            	isupaTa 
isu-prahāra- -                          	isuprahAra 
iṣv-āsa- -                              	izvAsa 
iṣv-asana- -                            	izvasana 
iṣv-astra- -                            	izvastra 
jāgrad-dharma-varjita-                  	jAgradDarmavarjita
jāgrad-vāsanāmaya-tva-                  	jAgradvAsanAmayatva
jāgrat-svapnādy-avasthā-                	jAgratsvapnAdyavasTA
jāti-deśa-kāla-samayānavacchina-        	jAtideSakAlasamayAnavacCina
jāti-deśa-kāla-vyavahita-               	jAtideSakAlavyavahita
jāti-lakṣaṇa-deśa-                      	jAtilakzaRadeSa
jāti-nīti-kula-gotra-dūraṃga-           	jAtinItikulagotradUraMga
jāti-padārtha-vāda-                     	jAtipadArTavAda
jīvana-viḍambana-hetu-                  	jIvanaviqambanahetu
jñāna-bala-kriyā-                       	jYAnabalakriyA
jñānecchā-kriyā-śaktimad-upahitatva-    	jYAnecCAkriyASaktimadupahitatva
jñātṛ-jñāna-jñeya-tripuṭī-              	jYAtfjYAnajYeyatripuwI
jñātṛ-jñāna-jñeya-tripuṭī-vilaya-       	jYAtfjYAnajYeyatripuwIvilaya
jñātṛ-jñeya-jñāna-śūnya-                	jYAtfjYeyajYAnaSUnya
jñātrādi-tripuṭī-laya-                  	jYAtrAditripuwIlaya
jambū-jambū-phala-rasa-                 	jambUjambUPalarasa
jananī-maraṇa-kleśa-saṃpāta-hetu-       	jananImaraRakleSasaMpAtahetu
jani-maraṇa-taraṅgāpāra-saṃsāra-sindhu- 	janimaraRataraNgApArasaMsArasinDu
jani-mṛtijarā-duḥkha-bahula-            	janimftijarAduHKabahula
janmādi-duḥkha-prabhava-                	janmAdiduHKapraBava
janmauṣadhī-mantra-tapaḥ-samādhi-ja-    	janmOzaDImantratapaHsamADija
janma-kathaṃtā-saṃbodha-                	janmakaTaMtAsaMboDa
janma-mṛtyu-prahāṇi-                    	janmamftyuprahARi
janma-niro-dha-                         	janmaniroDa
jarā-maraṇa-kṛta-                       	jarAmaraRakfta
kāka-danta-parīkṣā-nyāya-               	kAkadantaparIkzAnyAya
kāraṇāntara-nirāsa-kāraṇa-              	kAraRAntaranirAsakAraRa
kāraṇa-guṇātmaka-tva-                   	kAraRaguRAtmakatva
kāraṇa-kārya-vibhāga-                   	kAraRakAryaviBAga
kārpaṇya-doṣopahata-svabhāva-           	kArpaRyadozopahatasvaBAva
kārya-kāraṇa-vilakṣaṇa-                 	kAryakAraRavilakzaRa
kāya-vyūha-jñāna-                       	kAyavyUhajYAna
kaivalya-prāg-bhāra-                    	kEvalyaprAgBAra
kīdṛg-rūpa-vyāpāra-vat-                 	kIdfgrUpavyApAravat
kaṇṭaka-viśodhana- -                    	kaRwakaviSoDana 
kalā-vat-tddh                           	kalAvattdD
kalpanā-gaurava-prasaṅga-               	kalpanAgOravaprasaNga
kalpa-vikalpa-śūnya-                    	kalpavikalpaSUnya
kalpita-nāma-mātra-                     	kalpitanAmamAtra
kaṣāya-vāsas- -                         	kazAyavAsas 
kelī-śala-bhañjikā-                     	kelISalaBaYjikA
kṛta-karma-nāśa-                        	kftakarmanASa
kuraṅga-mātaṅga-pataṅga-mīna-bhṛṅga-    	kuraNgamAtaNgapataNgamInaBfNga
kṣālana-śoṣaṇādi-rahita-                	kzAlanaSozaRAdirahita
kṣaṇa-dṛṣṭa-nāṣṭa-                      	kzaRadfzwanAzwa
kṣaṇa-tat-krama-                        	kzaRatatkrama
kṣata-ja- upa                           	kzataja upa
laghu-tūla-samāpatti-                   	laGutUlasamApatti
labdha-varṇa-bhaj-                      	labDavarRaBaj
lalita-kāmi-sādharaṇa-                  	lalitakAmisADaraRa
liṅga-vācaka-pratyaya-                  	liNgavAcakapratyaya
lobha-krodha-moha-pūrvaka-              	loBakroDamohapUrvaka
loka-kṣaya-kṛt-                         	lokakzayakft
māna-saṃbandha-dūra-                    	mAnasaMbanDadUra
mātā-pitṛ-ja-                           	mAtApitfja
mātṛ-loka-kāma-                         	mAtflokakAma
māyā-kārya-tirohita-                    	mAyAkAryatirohita
māyā-kṛta-jani-jarāmṛtyu-gahana-        	mAyAkftajanijarAmftyugahana
māyā-māruta-vibhrama-                   	mAyAmArutaviBrama
mūrchā-kumbhaka-prāṇāyāma-              	mUrCAkumBakaprARAyAma
mahā-hanu-śayana-                       	mahAhanuSayana
mahā-moha-grāha-grasa-galitātmāvagamana-	mahAmohagrAhagrasagalitAtmAvagamana
mahā-puruṣa-saṃśraya-                   	mahApuruzasaMSraya
mahā-sarpa-bhaya-duḥkha-vināśin-        	mahAsarpaBayaduHKavinASin
mahā-vedha-mudrā-                       	mahAveDamudrA
mahadādi-sūkṣma-paryanta-               	mahadAdisUkzmaparyanta
mahadādi-viśeṣabhūta-paryanta-          	mahadAdiviSezaBUtaparyanta
malina-sattva-pradhāna-                 	malinasattvapraDAna
manaḥ-śīlā-vicchurita-                  	manaHSIlAvicCurita
manaḥ-śīla-guhā-                        	manaHSIlaguhA
manasi-ja taru-puṣpa-                   	manasija tarupuzpa
manda-madhyama-rūpa-                    	mandamaDyamarUpa
marīcikā-vāri-mahāpra-vāha-             	marIcikAvArimahApravAha
mati-doṣa-dūṣita-                       	matidozadUzita
mithyā- jñāna-puraḥsara-                	miTyA jYAnapuraHsara
mithyā- jñāna-vināśa-                   	miTyA jYAnavinASa
mokṣa-kāraṇa-sāmagrī-                   	mokzakAraRasAmagrI
mukha-bahūrupa-ja-                      	muKabahUrupaja
nāma-rūpa-guṇa-doṣa-varjita-            	nAmarUpaguRadozavarjita
nabho-nabhasvad-dahanāmbu-bhūmi-        	naBonaBasvaddahanAmbuBUmi
nata-loka-bandhu-                       	natalokabanDu
nata-nābhi-randhra-                     	natanABiranDra
nava-śaśi-bhṛṭ-                         	navaSaSiBfw
nidrita-vat-prajalpa-                   	nidritavatprajalpa
