slp1	n_dicts	dicts
sugfhI	1	MW
sugfha	7	AP BUR CAE MW PWG PWK VCP
suglaH	1	SKD
sugmia	2	GRA PWK
sugmya	6	CAE CCS GRA MW PWG PWK
sugopA	6	CAE CCS GRA MW PWG PWK
suguRa	4	CAE CCS MW PWK
suguru	5	CAE MW PWG PWK SCH
suhArd	3	MW PWG PWK
suhAsa	3	MW PWG PWK
suhUti	3	MW PWG PWK
suhala	3	MW PWG PWK
suhali	1	PWK
suhana	6	CAE CCS GRA MW PWG PWK
suhanu	4	INM MW PWG PWK
suhara	4	INM MW PWG PWK
suhata	4	MD MW PWG PWK
suhava	6	CAE CCS GRA MW PWG PWK
suhaya	3	MW PWG PWK
suhfda	5	INM MW PWG PWK VCP
suhiMs	3	MW PWG PWK
suhitA	3	AP MW SKD
suhitI	1	SCH
suhita	8	AP BUR CAE CCS MW PWG PWK VCP
suhmAH	1	AP
suhotf	4	CAE GRA INM MW
suhuta	6	CAE CCS GRA MW PWG PWK
suiDma	2	GRA PWK
suizwa	2	GRA PWK
suizwi	1	PWK
sujAmi	4	CAE MW PWG PWK
sujAtA	5	BHS INM MW SKD VCP
sujAta	10	AP BHS CAE CCS GRA INM MW PWG PWK VEI
sujAti	1	MW
sujIva	5	CAE CCS MW PWG PWK
sujala	6	CAE CCS MW PWG PWK VCP
sujana	7	AP BUR CAE CCS MW PWG PWK
sujaya	5	CAE CCS MW PWG PWK
sujita	3	CAE MW PWK
sukAla	4	CAE MW PWG PWK
sukAmA	5	MW PWG PWK SKD VCP
sukAma	1	MW
sukaTA	5	CAE CCS MW PWG PWK
sukala	6	AP BUR MW PWG PWK VCP
sukarA	4	AP MW SKD VCP
sukara	8	AP BUR CAE CCS GRA MW PWG PWK
sukavi	5	CAE CCS MW PWG PWK
sukeSA	1	SKD
sukeSI	4	INM MW SCH SKD
sukeSa	7	BHS BUR CAE CCS MW PWG PWK
sukeSi	3	MW PWG PWK
suketa	5	CAE CCS MW PWG PWK
suketf	1	MW
suketu	9	BHS CAE CCS GRA INM MW PWG PWK SCH
sukftA	1	MW
sukftI	1	SKD
sukfta	8	AP CAE CCS GRA MW PWG PWK VCP
sukfti	6	CAE CCS MW PWG PWK VCP
sukfty	2	PWG PWK
sukoSA	3	MW PWG PWK
sukoSa	1	SCH
sukolI	6	BUR MW PWG PWK SKD VCP
sukucA	5	CAE CCS MW PWG PWK
sukula	5	CAE CCS MW PWG PWK
sukzma	3	MW PWG PWK
sulABa	3	MW PWG PWK
sulaBA	3	INM MW SKD
sulaBI	1	PWK
sulaBa	10	AP BHS BUR CAE CCS INM MW PWG PWK VCP
sulasA	1	SCH
sulasa	3	MW PWG PWK
suleKa	3	MW PWG PWK
suleka	3	MW PWG PWK
suloha	1	MW
sulola	2	MW PWK
sulomA	3	MW SKD VCP
suloma	3	MW PWG PWK
suluka	1	BHS
sumAla	5	BHS INM MW PWG PWK
sumAli	3	MW PWG PWK
sumAtf	3	CAE GRA MW
sumAyA	1	MW
sumAya	5	CAE GRA MW PWG PWK
sumAza	3	MW PWG PWK
sumBaH	1	SKD
sumIQa	5	GRA INM MW PWG PWK
sumIna	3	MW PWG PWK
sumUlA	2	MW SKD
sumUla	4	MW PWG PWK VCP
sumaKa	7	CAE CCS GRA MD MW PWG PWK
sumaRi	5	INM MW PWG PWK SCH
sumadA	1	MW
sumada	1	MW
sumahA	2	MW PWK
sumaha	1	PWG
sumanA	6	AP INM MD MW SKD VCP
sumanI	2	PWK SCH
sumana	8	AP BHS BUR INM MW PWG PWK VCP
sumano	1	MW
sumara	3	MW PWG PWK
sumatI	1	PWK
sumata	5	BHS BUR MW PWG PWK
sumati	11	AP BHS CAE CCS GRA INM MD MW PWG PWK VCP
sumeDA	1	BHS
sumeDa	7	CAE CCS GRA MW PWG PWK VEI
sumeGa	3	MW PWG PWK
sumeka	8	BUR CAE CCS GRA MW PWG PWK SCH
sumeru	9	BHS BUR CAE CCS INM MW PWG PWK VCP
sumfga	3	MW PWG PWK
sumfta	3	AP CAE MW
sumita	6	CAE CCS GRA MW PWG PWK
sumiti	4	GRA MW PWG PWK
sumnAy	4	CAE GRA PWG PWK
sumnam	1	AP
sumnay	5	CAE CCS GRA PWG PWK
sumnin	5	CAE CCS MW PWG PWK
sumnya	3	CAE MW PWK
sumuKA	4	AP BHS MW SKD
sumuKI	5	AP INM MW PWK SKD
sumuKa	11	AP BHS BUR CAE CCS INM MW PWG PWK SCH VCP
sumukA	1	BHS
sunABa	9	AP BUR CAE CCS INM MW PWG PWK VCP
sunABi	4	CAE MW PWG PWK
sunATa	3	MW PWG PWK
sunAda	2	MW PWK
sunAga	3	MW PWG PWK
sunAla	2	MW PWK
sunAra	5	BUR MW PWG PWK VCP
sunAsa	5	CAE CCS MW PWG PWK
sunITA	2	INM MW
sunITa	9	AP BUR CAE GRA INM MW PWG PWK VCP
sunIlA	3	AP MW SKD
sunIla	6	AP BUR MW PWG PWK VCP
sunIta	6	AP CAE CCS MW PWG PWK
sunIti	9	BUR CAE CCS GRA MW PWG PWK SCH VCP
sunaKa	1	BHS
sunaPA	4	AP MW PWG PWK
sunaha	3	MW PWG PWK
sunasA	2	INM MW
sunasa	6	BUR CAE CCS MW PWG PWK
sunata	2	MW PWK
sunati	3	MW PWG PWK
sunaya	6	BHS CAE INM MW PWG PWK
sundaH	2	AP SKD
sunemi	1	BHS
sunetf	1	MW
sunfpa	4	CAE MW PWG PWK
suniDa	1	GRA
suniDi	3	MW PWG PWK
sunika	3	MW PWG PWK
sunvan	1	SKD
sunvat	3	BUR MD MW
suojas	2	GRA PWK
supARi	6	CAE CCS GRA MW PWG PWK
supASA	3	MW PWG PWK
supASa	3	MW PWG PWK
supAda	2	MW PWK
supAli	3	AP MW PWK
supAna	3	MW PWG PWK
supArA	1	MW
supAra	6	CAE CCS GRA MW PWG PWK
supAva	3	MW PWG PWK
supIlu	1	BHS
supIna	3	MW PWG PWK
supIta	5	CAE MW PWG PWK VCP
supIvA	1	SKD
supUra	8	AP BUR CAE CCS MW PWG PWK VCP
supUta	6	CAE CCS GRA MW PWG PWK
supaTa	8	BUR CAE CCS GRA MW PWG PWK VCP
supaWa	3	AP MW PWK
supaca	1	VCP
supada	5	BUR CAE MW PWG PWK
supana	1	BHS
supari	3	MW PWG PWK
supati	5	CAE CCS MW PWG PWK
supavi	3	MW PWG PWK
supeSa	3	MW PWG PWK
supeti	1	BHS
supfkz	6	CAE CCS GRA MW PWG PWK
supina	1	BHS
supiti	1	BHS
supiya	1	BHS
suplan	5	CAE CCS MW PWG PWK
supoza	5	BHS MW PWG PWK SCH
suprAc	1	GRA
suptaH	1	SKD
suptaM	1	SKD
suptam	1	AP
suptiH	2	AP SKD
supura	3	MW PWG PWK
supuwa	4	MW PWG PWK VCP
surASU	4	GRA MW PWG PWK
surAga	1	SCH
surAjA	2	BUR SKD
surAji	3	MW PWG PWK
surAla	3	MW PWG PWK
surAma	5	GRA MW PWG PWK VEI
surApa	8	AP BUR CAE CCS MW PWG PWK VCP
surAri	8	BUR CAE CCS INM MW PWG PWK VCP
surAti	6	CAE CCS GRA MW PWG PWK
surAva	4	INM MW PWG PWK
surIka	3	MW PWG PWK
surIya	3	MW PWG PWK
surUQa	1	MW
surUpA	3	INM MW SKD
surUpa	11	AP BHS BUR CAE CCS GRA INM MW PWG PWK VCP
suraBI	5	AP MD MW PWK SKD
suraBi	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP
suraBy	1	MW
suraGu	2	PWG PWK
suraRA	1	MW
suraRa	6	CAE CCS GRA MW PWG PWK
suraTA	1	MW
suraTa	8	CAE CCS GRA INM MW PWG PWK VCP
surajA	4	INM MW PWG PWK
surakA	1	SCH
suraka	3	MW PWG PWK
suralA	7	AP BUR MW PWG PWK SKD VCP
suraqA	2	MW PWK
surasA	4	AP INM MW SKD
surasI	1	MW
surasa	11	AP BUR CAE CCS INM MD MW PWG PWK SCH VCP
suratA	6	INM MW PWG PWK SKD VCP
surata	9	AP BHS BUR CAE CCS MW PWG PWK VCP
surati	2	BHS MW
sureBa	6	AP BUR MW PWG SCH VCP
sureKA	3	MW PWG PWK
sureKa	4	CAE CCS MW PWK
sureRu	6	BHS INM MW PWG PWK SCH
sureSI	1	MW
sureSa	7	CAE CCS INM MD MW PWG PWK
surisa	3	MW PWG PWK
suriya	1	BHS
suroDa	3	MW PWG PWK
suroda	5	BUR MW PWG PWK VCP
suroha	3	MW PWG PWK
suroza	5	CAE CCS MD MW PWK
suruci	5	BHS INM MW PWG PWK
suruja	1	MW
susADu	2	MW PWK
susAra	6	AP BUR MW PWG PWK VCP
susAya	5	CAE CCS MW PWG PWK
susImA	3	BHS MW SKD
susIma	6	BHS CAE CCS MW PWG PWK
susTaH	1	SKD
susTam	1	AP
susTay	2	PWG PWK
susaKi	3	MD MW PWK
susaha	6	AP GRA INM MW PWG PWK
susamI	1	PWK
susama	3	MW PWG PWK
susani	3	MW PWG PWK
susavI	4	AP PWG PWK SKD
susava	3	MW PWG PWK
susena	3	MW PWG PWK
susita	5	CAE CCS MW PWG PWK
susnAH	1	SKD
susoma	1	BHS
susraj	3	MW PWG PWK
susras	3	MW PWG PWK
sustrI	5	CAE CCS MW PWG PWK
susuDI	1	BHS
susuKa	7	BUR CAE CCS MD MW PWG PWK
sutAla	3	MW PWG PWK
sutAna	4	AP MW PWG PWK
sutApa	1	SCH
sutArA	2	AP MW
sutAra	7	AP CAE CCS MD MW PWG PWK
sutAya	1	BHS
sutElA	4	MW PWK SKD VCP
sutEla	1	PWG
sutIBU	2	MD PWG
sutIya	1	MW
sutUlI	2	MW PWK
sutadA	3	MW PWG PWK
sutaka	1	VCP
sutala	7	BUR CAE CCS MW PWG PWK VCP
sutanU	1	VCP
sutanu	11	AP BHS BUR CAE CCS INM MD MW PWG PWK VCP
sutapA	7	CAE CCS GRA MD MW PWG PWK
sutapa	3	MW PWG PWK
sutara	6	CAE CCS GRA MW PWG PWK
sutatA	1	SCH
sutejA	3	MW PWG PWK
suteja	1	BHS
sutfRa	2	MW PWK
sutinI	1	AP
sutoya	3	MW PWG PWK
sutoza	4	CAE MW PWG PWK
sutuka	7	CAE CCS GRA MD MW PWG PWK
sutvac	2	MW PWK
sutvan	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
sutyaj	4	GRA MW PWG PWK
suukta	1	GRA
suurmi	1	GRA
suvAha	4	INM MW PWG PWK
suvAhu	1	INM
suvAla	2	MW PWK
suvAmA	4	INM MW PWG PWK
suvAmi	1	BUR
suvAsa	6	BUR INM MW PWG PWK VCP
suvAsu	1	BHS
suvAtA	3	MW PWG PWK
suvIja	2	AP VCP
suvIrA	1	BHS
suvIra	8	BUR CAE CCS GRA INM MW PWG PWK
suvaSa	2	MW PWK
suvacA	1	MW
suvaca	2	MW PWK
suvahA	3	AP SKD VCP
suvaha	5	AP BUR MW PWG PWK
suvalg	3	MW PWG PWK
suvalk	1	BUR
suvana	5	BUR MW PWG PWK VCP
suvasu	3	MW PWG PWK
suveDa	1	BHS
suveRA	2	INM MW
suveRI	1	SCH
suveRa	3	MW PWG PWK
suveSI	1	SKD
suveSa	5	INM MW PWG PWK VCP
suveda	6	CAE CCS GRA MW PWG PWK
suvegA	3	MW SKD VCP
suvega	3	MW PWG PWK
suvela	7	AP BUR CAE MW PWG PWK VCP
suvema	5	CAE CCS MW PWG PWK
suvena	6	CAE CCS GRA MW PWG PWK
suveza	5	CAE CCS MW PWG PWK
suvfDa	3	MW PWG PWK
suvfSc	3	MW PWG PWK
suvfsI	1	SCH
suvfza	1	BHS
suviBu	3	MW PWG PWK
suviDa	6	AP CAE CCS MW PWG PWK
suviDi	7	BUR CAE CCS MW PWG PWK SCH
suvida	4	MW PWG PWK VCP
suvita	7	CAE CCS GRA MD MW PWG PWK
suyASu	4	GRA MW PWG PWK
suyAma	8	BHS CAE CCS GRA INM MW PWG PWK
suyAti	3	MW PWG PWK
suyaSA	3	INM MW PWK
suyaSa	1	MW
suyamA	1	MW
suyama	6	CAE CCS GRA MW PWG PWK
suyata	6	CAE CCS GRA MW PWG PWK
suyava	1	BUR
suyoga	1	MW
suyuta	1	MW
suzAQa	3	MW PWG PWK
suzAha	4	GRA MW PWG PWK
suzAva	1	BUR
suzIma	6	AP BUR MW PWG PWK VCP
suzUmA	4	CAE CCS MW PWK
suzUma	2	GRA PWG
suzUta	4	GRA MW PWG PWK
suzUti	3	MW PWG PWK
suzUya	1	MW
suzaKi	6	CAE CCS GRA MW PWG PWK
suzaRa	6	CAE CCS GRA MW PWG PWK
suzada	5	CAE CCS GRA MW PWG
suzaha	6	CAE CCS GRA MW PWG PWK
suzamA	3	AP MW SKD
suzamI	1	MW
suzama	8	AP BUR CAE CCS MW PWG PWK VCP
suzavI	7	AP BUR MW PWG PWK SKD VCP
suzeDa	3	MW PWG PWK
suzeRA	1	MW
suzeRI	2	MW SKD
suzeRa	9	BHS BUR CAE CCS INM MW PWG PWK VCP
suzeka	4	GRA MW PWG PWK
suzika	1	MW
suzima	2	AP MW
suzirA	1	MW
suzira	8	AP CAE CCS GRA MW PWG PWK VCP
suzita	3	MW PWG PWK
suzmaM	1	SKD
suzmam	1	AP
suzoha	1	BUR
suzomA	5	BUR MW SKD VCP VEI
suzoma	6	CAE CCS GRA MW PWG PWK
suzumA	1	SCH
suzuta	5	CAE GRA MW PWG PWK
suzuti	5	CAE GRA MW PWG PWK
suzvay	5	CAE CCS GRA PWG PWK
suzwuB	6	CAE CCS GRA MW PWG PWK
svADya	1	BUR
svANga	6	CAE CCS MD MW PWG PWK
svANgi	2	PWG PWK
svANka	2	CAE CCS
svASir	3	MW PWG PWK
svASis	4	GRA MW PWG PWK
svAdaH	2	AP SKD
svAdas	4	GRA MW PWG PWK
svAdin	4	MD MW PWG PWK
svAduH	2	AP SKD
svAdvI	2	AP SKD
svAdya	4	CAE MW PWG PWK
svAhna	2	PWG PWK
svAhya	3	MW PWG PWK
svAjYA	3	MD MW PWK
svAkta	3	MW PWG PWK
svAlpa	2	AP MW
svAmIy	2	PWG PWK
svAmam	1	BHS
svAmin	10	AP BUR CAE CCS MD MW PWG PWK SCH VCP
svAmya	6	CAE CCS MD MW PWG PWK
svAnaH	2	AP SKD
svAnin	5	CAE CCS GRA MW PWG
svAnta	7	BUR CAE CCS MW PWG PWK VCP
svApaH	2	AP SKD
svApay	2	PWG PWK
svApin	1	MW
svApna	4	AP MW PWG PWK
svApta	4	MD MW PWG PWK
svArAj	6	AP BUR MW PWG PWK VCP
svArTa	9	AP BUR CAE CCS MD MW PWG PWK VCP
svArTe	1	MW
svAruh	4	CAE MW PWG PWK
svAsad	3	MW PWG PWK
svAsya	1	INM
svAtiH	2	AP SKD
svAtta	5	CAE MD MW PWG PWK
svAvfj	5	GRA MD MW PWG PWK
svAvft	2	MW PWK
svAyuj	5	GRA MD MW PWG PWK
svAyus	3	MW PWG PWK
svEraH	1	SKD
svEram	2	AP MW
svErin	8	AP CAE CCS MD MW PWG PWK VCP
svIkar	2	CCS PWG
svIyaH	1	SKD
svOjas	3	MW PWG PWK
svaBUH	2	AP SKD
svaDay	2	PWG PWK
svaDur	3	MW PWG PWK
svaHzA	1	AP
svaMsa	1	SCH
svaNga	10	AP BUR CAE CCS GRA INM MD MW PWG PWK
svaSva	7	CAE CCS GRA MD MW PWG PWK
svaYja	3	MW PWG PWK
svacCA	3	AP MW SKD
svacCa	9	AP BUR CAE CCS MD MW PWG PWK VCP
svadfS	4	AP MW PWG PWK
svaetu	2	GRA PWK
svagni	7	CAE CCS GRA MD MW PWG PWK
svahna	2	PWG PWK
svajaH	2	AP SKD
svajaM	1	SKD
svajam	1	AP
svakaH	1	AP
svakaM	1	SKD
svakam	1	AP
svakft	3	MW PWG PWK
svakta	2	MW PWK
svakza	9	AP BUR CAE CCS INM MD MW PWG PWK
svalpI	1	PWK
svalpa	9	AP BUR CAE CCS MD MW PWG PWK VCP
svamat	1	MW
svanaH	2	AP SKD
svanas	4	GRA MW PWG PWK
svaniH	2	AP SKD
svanna	3	MW PWG PWK
svanta	6	AP CAE CCS MW PWG PWK
svapad	1	VEI
svapas	7	CAE CCS GRA MD MW PWG PWK
svapiS	3	MW PWG PWK
svapna	10	BUR CAE CCS GRA MD MW PWG PWK VCP VEI
svaptf	1	MW
svarAj	12	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI
svarAw	1	SKD
svarRA	1	SCH
svarRa	8	BUR CAE CCS MD MW PWG PWK VCP
svarRf	3	CAE GRA MW
svarTa	7	CAE CCS GRA MD MW PWG PWK
svaraH	2	AP SKD
svaras	4	GRA MW PWG PWK
svarci	5	CAE GRA MW PWG PWK
svardA	3	CAE MW PWK
svarda	4	CAE MW PWK SKD
svargI	1	SKD
svarga	9	CAE CCS GRA INM MD MW PWG PWK VCP
svargi	1	MW
svariA	1	PWK
svaria	1	GRA
svarji	3	MW PWG PWK
svarka	7	CAE CCS GRA MD MW PWG PWK
svaruH	2	AP SKD
svaruh	1	MW
svarus	4	AP MW PWG PWK
svarya	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
svarye	1	BUR
svaryu	6	CAE CCS GRA MW PWG PWK
svarzA	6	CAE CCS GRA MW PWG PWK
svasTI	1	PWK
svasTa	9	AP BUR CAE CCS MD MW PWG PWK VCP
svasar	3	CCS PWG PWK
svasft	7	AP CAE GRA MD MW PWG PWK
svasic	3	MW PWG PWK
svaska	2	SKD VCP
svastI	3	MW PWG PWK
svasti	13	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP
svasty	1	MW
svataH	1	SKD
svatas	8	AP BUR CAE CCS MW PWG PWK VCP
svatra	4	BUR MW PWG PWK
svatva	5	BUR MW PWG PWK VCP
svavAn	1	CAE
svavas	5	CCS GRA MW PWG PWK
svavat	5	AP CAE MD MW PWK
svavfj	4	GRA MW PWG PWK
svayaM	3	BHS MW SKD
svayam	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
svayuj	5	CAE GRA MW PWG PWK
svecCA	9	AP BUR CAE CCS MW PWG PWK SKD VCP
svecCa	3	MD MW PWK
svedaH	2	AP SKD
svedin	3	MW PWG PWK
svedya	4	MD MW PWG PWK
svezwa	6	CAE CCS MD MW PWG PWK
svfdDa	3	MW PWG PWK
svfkza	2	MW PWK
sviDma	4	GRA MW PWG PWK
svidam	1	BHS
svinna	6	AP CAE CCS MW PWG VCP
svizwa	8	AP CAE CCS GRA MD MW PWG PWK
svizwi	7	AP CAE CCS MD MW PWG PWK
svojas	7	CAE CCS GRA MD MW PWG PWK
svokta	1	MW
svoras	2	MD MW
svotTa	5	AP MD MW PWG PWK
svurcC	1	AP
syAlaH	2	AP SKD
syAnta	1	BUR
syUmaH	2	AP SKD
syUmaM	1	SKD
syUmam	1	AP
syUman	8	CAE CCS GRA MD MW PWG PWK VEI
syUnaH	2	AP SKD
syUtaH	2	AP SKD
syUtiH	2	AP SKD
syadaH	2	AP SKD
syandI	1	SKD
syanda	11	BHS BUR CAE CCS MD MW PWG PWK SCH SKD VCP
syanna	7	AP BUR MD MW PWG PWK VCP
syonaH	2	AP SKD
syonam	1	AP
syotaH	2	AP SKD
syumna	4	BUR MW PWG PWK
syutna	3	MW PWG PWK
tARqiH	1	AP
tARqin	4	MW PWG PWK VCP
tARqya	9	CAE CCS INM MD MW PWG PWK VCP VEI
tAbuva	4	MW PWG PWK VEI
tAdfSI	1	AP
tAdfSa	9	AP BHS CAE CCS MD MW PWG PWK VCP
tAdurI	4	MW PWG PWK VEI
tAhika	1	PWG
tAjaka	6	CAE CCS MW PWG PWK VCP
tAjika	6	CAE MD MW PWG PWK VCP
tAkzRa	6	CAE CCS MD MW PWG PWK
tAlAdi	2	MW VCP
tAlAka	1	PWK
tAlAna	1	MW
tAlISa	6	BHS BUR MW PWG PWK VCP
tAlIya	1	PWG
tAlUka	1	BHS
tAlUra	8	BUR CAE CCS MW PWG PWK SCH VCP
tAlaja	4	CAE CCS MW PWK
tAlakI	4	AP MW SKD VCP
tAlaka	8	BHS CAE CCS MW PWG PWK SCH VCP
tAlana	4	CAE CCS MD PWK
tAlatI	2	PWG PWK
tAliSa	5	BUR MW PWG PWK VCP
tAlikA	3	MD MW SKD
tAlika	6	BHS BUR MW PWG PWK VCP
tAlita	5	BUR MW PWG PWK VCP
tAluja	1	MW
tAlukA	2	BHS MW
tAluka	5	CAE CCS MW PWG PWK
tAluna	3	MW PWG PWK
tAlura	3	MW PWG PWK
tAluvi	1	MW
tAmAla	1	PWK
tAmala	2	MW PWK
tAmarA	1	BHS
tAmara	5	BUR MW PWG PWK VCP
tAmasI	4	AP MW SKD VCP
tAmasa	10	AP BUR CAE CCS MD MW PWG PWK SCH VCP
tAmita	1	SCH
tAmraH	2	AP SKD
tAmraM	1	SKD
tAmram	1	AP
tAmrya	3	MW PWG PWK
tAnUra	4	MW PWG PWK VCP
tAnaka	1	SCH
tAnava	7	CAE CCS MD MW PWG PWK VCP
tAnika	1	BHS
tAntaH	1	SKD
tAntra	6	CAE CCS MD MW PWG PWK
tAnuka	3	MW PWG PWK
tApIja	4	MW PWG PWK VCP
tApada	2	MW PWK
tApaka	8	AP CAE CCS MW PWG PWK SCH VCP
tApanA	2	AP MW
tApanI	2	AP MW
tApana	9	AP BHS CAE CCS MW PWG PWK SCH VCP
tApani	1	SCH
tApasI	1	MW
tApasa	10	AP CAE CCS MD MW PWG PWK SCH VCP VEI
tApatI	1	PWG
tApikA	2	MW SCH
tApika	4	MW PWG PWK VCP
tApinI	1	MW
tApita	2	AP MW
tAprya	1	PWK
tApyaM	1	SKD
tApyam	1	AP
tAqAga	8	AP CAE CCS MD MW PWG PWK VCP
tAqaGa	5	AP MW PWG PWK VCP
tAqakA	5	AP MW PWG SKD VCP
tAqaka	6	BHS CAE CCS MW PWK SCH
tAqanA	2	AP BHS
tAqanI	4	AP MW SKD VCP
tAqana	9	AP BUR CAE CCS MD MW PWG PWK VCP
tAqikA	2	MW PWK
tAqinI	1	SCH
tAqita	3	AP MW SCH
tAqula	5	AP MW PWG PWK VCP
tArABa	3	MW PWG PWK
tArAri	5	BUR MW PWG PWK VCP
tArIzI	1	PWK
tArIza	3	BUR PWG PWK
tArRaH	1	AP
tArRiH	1	AP
tAraRI	2	AP VCP
tAraRa	9	AP BUR CAE INM MD MW PWG PWK VCP
tAraRi	4	MW PWG PWK VCP
tAradI	5	MW PWG PWK SKD VCP
tAraja	3	MW PWG PWK
tArakA	4	AP MW SKD VEI
tAraka	12	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP
tArala	6	AP BUR MW PWG PWK VCP
tArava	5	CAE CCS MW PWK SCH
tArawI	3	MW PWG PWK
tAreya	5	BUR MW PWG PWK VCP
tAriRI	5	BHS BUR INM MW SKD
tArikA	4	AP MW SKD VCP
tArika	8	AP CAE CCS MD MW PWG PWK SCH
tArita	2	AP MW
tAritf	1	MW
tArkzI	2	MW SKD
tArkza	6	CAE CCS MW PWG PWK VCP
tArpya	6	CAE CCS MW PWG PWK VEI
tAruRa	5	AP MW PWG PWK VCP
tAryam	1	AP
tAryya	1	VCP
tAsIra	3	MW PWG PWK
tAsUna	5	CAE CCS MD MW PWK
tAsuna	1	VCP
tAtagu	6	AP BUR MW PWG PWK VCP
tAtaka	1	BHS
tAtala	6	AP BUR MW PWG PWK VCP
tAtana	5	BUR MW PWG PWK VCP
tAtfpi	6	CAE CCS GRA MW PWG PWK
tAtuka	1	BHS
tAvIzI	3	AP MW SKD
tAvIza	3	MW PWG PWK
tAvakI	1	AP
tAvaka	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
tAvant	4	CAE CCS PWG PWK
tAvara	4	BUR MW PWG PWK
tAvatA	1	MW
tAvati	1	MW
tAvizI	3	AP MW SKD
tAviza	5	BUR MW PWG PWK VCP
tAvura	2	MW PWK
tAvuri	4	MW PWG PWK VCP
tAvuru	2	MW PWK
tAwakA	1	VCP
tAyaRa	1	BHS
tAyana	6	CAE CCS MD MW PWG PWK
tAyika	5	BUR MW PWG PWK VCP
tEgmya	3	MW PWG PWK
tEjana	3	MW PWG PWK
tEjasI	1	MW
tEjasa	10	AP BUR CAE CCS INM MD MW PWG PWK VCP
tEkzRa	1	PWK
tElAwI	6	AP MW PWG PWK SKD VCP
tElIna	4	MW PWG PWK VCP
tElaka	3	MW PWG PWK
tElapA	5	AP MW PWG SKD VCP
tElapa	2	MW PWK
tElikI	1	MW
tElika	7	CAE CCS MD MW PWG PWK VCP
tElinI	3	AP MW SKD
tElipa	1	SCH
tEmAta	3	MW PWG VEI
tEmira	6	CAE CCS MW PWG PWK VCP
tErTya	4	MW PWG PWK VCP
tEraRI	3	PWK SKD VCP
tEraRa	2	MW PWK
tEsfka	2	MW PWK
tEtala	5	MW PWG PWK SCH VCP
tEtila	7	BUR MD MW PWG PWK SCH VCP
tEtili	2	MW PWK
tEtira	2	PWG VCP
tEtiri	2	PWG PWK
tIkzRA	3	MW SKD VCP
tIkzRa	13	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP
tImana	3	MW PWK SCH
tIrAwa	3	MW PWG PWK
tIrRaH	1	SKD
tIrTaH	1	AP
tIrTaM	1	SKD
tIrTam	1	AP
tIrTya	9	AP BHS CAE CCS MD MW PWG PWK VCP
tIraRa	4	BHS MW PWG PWK
tIraja	4	CAE MW PWG PWK
tIraya	2	MD MW
tIriRI	1	SCH
tIrikA	4	CAE CCS MW PWK
tIrita	3	AP BUR MW
tIrtvA	1	MW
tIsawa	3	MW PWG PWK
tIvarI	2	MW SKD
tIvara	8	BUR CAE CCS MD MW PWG PWK VCP
tIvraH	2	AP SKD
tIvraM	1	SKD
tIvram	2	AP MW
tIvray	2	PWG PWK
tIyikA	2	PWK SCH
tORika	1	SCH
tOcCya	3	MW PWG PWK
tOdeya	4	BHS MW PWG PWK
tOdiya	2	PWG PWK
tOgria	1	GRA
tOgrya	8	CAE CCS GRA MD MW PWG PWK VEI
tOlana	1	SCH
tOlika	6	BUR MW PWG PWK SCH VCP
tOlyam	1	AP
tOrUpa	1	SCH
tOryam	1	AP
tOryya	1	VCP
tOtika	4	MW PWG PWK VCP
tOzAra	8	AP CAE CCS MD MW PWG PWK VCP
tURIka	4	MW PWG PWK VCP
tURIkf	1	MW
tURIra	7	CAE CCS MD MW PWG PWK VCP
tURaka	6	CCS MD MW PWG PWK VCP
tURava	8	CAE CCS MD MW PWG PWK VCP VEI
tURika	3	MW PWG PWK
tUbarI	1	AP
tUbara	4	MW PWG PWK VCP
tUlaka	5	MW PWG PWK SCH VCP
tUlikA	7	AP MD MW PWG SCH SKD VCP
tUlika	5	CAE CCS MW PWG PWK
tUlinI	8	AP CAE CCS MW PWG PWK SKD VCP
tUpara	9	CAE CCS MD MW PWG PWK SCH VCP VEI
tUrBis	1	MW
tUrGna	4	MW PWG PWK VEI
tUrRRa	1	VCP
tUrRaM	1	SKD
tUrRam	2	AP MW
tUrRiH	2	AP SKD
tUryaH	1	AP
tUryam	1	AP
tUryya	1	VCP
tUstaM	1	SKD
tUstam	1	AP
tUtaka	5	BUR MW PWG PWK VCP
tUtuji	9	CAE CCS GRA MD MW PWG PWK VCP VEI
tUtuma	8	AP CAE CCS GRA MW PWG PWK VCP
tUvarI	2	SKD VCP
tUvara	5	AP BUR PWG SCH VCP
tUzRIM	2	MW SKD
tUzRIm	11	AP BHS CAE CCS GRA MD MW PWG PWK SCH VCP
taNkaH	2	AP SKD
taRqin	1	PWK
taRquH	1	SKD
taTAca	2	SKD VCP
taTAhi	1	VCP
taTApi	1	VCP
taTAtA	6	AP BHS MW PWG PWK SCH
taTEva	2	SKD VCP
taTatA	1	BHS
taTata	1	SCH
taTyaM	1	SKD
