key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
vyADAma	vya1dha1ma	vyādhāma	vyādhāma	fiction	24616	339-2	SCH-fiction-3147_cases.xml	1
vyADi	vya1dhi	vyādhi	vyādhi	fiction	24617	339-2	SCH-fiction-3147_cases.xml	1
vyADmAtaka	vya1dhma1taka	vyādhmātaka	vyādhmātaka	fiction	24618	339-2	SCH-fiction-3147_cases.xml	1
vyAroza	vya1ros2a	vyāroṣa	vyāroṣa	fiction	24636	339-3	SCH-fiction-3147_cases.xml	1
vyAseka	vya1seka	vyāseka	vyāseka	fiction	24646	339-3	SCH-fiction-3147_cases.xml	1
vyutkrAntakasamApatti	vyutkra1ntakasama1patti	vyutkrāntakasamāpatti	vyutkrāntakasamāpatti	fiction	24651	339-3	SCH-fiction-3147_cases.xml	1
vyuzwa	vyus2t2a	vyuṣṭa	vyuṣṭa	fiction	24655	339-3	SCH-fiction-3147_cases.xml	1
vyomayAna	vyomaya1na	vyomayāna	vyomayāna	fiction	24660	340-1	SCH-fiction-3147_cases.xml	1
vrIhika	vri1hika	vrīhika	vrīhika	fiction	24676	340-3	SCH-fiction-3147_cases.xml	1
vruq	vrud2	vruḍ	vruḍ	fiction	24678	340-3	SCH-fiction-3147_cases.xml	1
Sakawi	s4akat2i	śakaṭi	śakaṭi	fiction	24687	340-3	SCH-fiction-3147_cases.xml	0
Sakftkari	s4akr2tkari	śakṛtkari	śakṛtkari	fiction	24701	340-2	SCH-fiction-3147_cases.xml	0
Sakra	s4akra	śakra	śakra	fiction	24709	340-2	SCH-fiction-3147_cases.xml	0
Sakranandana	S4akranandana	śakranandana	śakranandana	fiction	24712	340-3	SCH-fiction-3147_cases.xml	0
SakraSarAsana	s4akras4ara1sana	śakraśarāsana	śakraśarāsana	fiction	24714	340-3	SCH-fiction-3147_cases.xml	0
SakraSiras	s4akras4iras	śakraśiras	śakraśiras	fiction	24715	340-3	SCH-fiction-3147_cases.xml	0
Sakla	s4akla	śakla	śakla	fiction	24717	340-3	SCH-fiction-3147_cases.xml	0
SaNKanaka	S4an3khanaka	śaṅkhanaka	śankhanaka	fiction	24730	341-1	SCH-fiction-3147_cases.xml	0
SaNKaSuktikA	s4an3khas4uktika1	śaṅkhaśuktikā	śankhaśuktikā	fiction	24735	341-1	SCH-fiction-3147_cases.xml	0
SaNKasvara	s4an3khasvara	śaṅkhasvara	śankhasvara	fiction	24736	341-1	SCH-fiction-3147_cases.xml	0
SacISa	S4aci1s4a	śacīśa	śacīśa	fiction	24739	341-1	SCH-fiction-3147_cases.xml	0
SaYc	s4an5c	śañc	śanc	fiction	24740	341-1	SCH-fiction-3147_cases.xml	0
